Age,Gender,Race,Image Path
1,0,0,./UTKFace\1_0_0_20161219154018476.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219162630727.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219140642920.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213104570.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109193431882.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109194450082.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109194232519.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219203503252.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219222101551.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213748813.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109192819417.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110211537870.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213013468.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213043946.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213326577.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213042127.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219205817093.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219211413621.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109192819417.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213537039.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110212733875.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20161219191012803.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213518456.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109191808532.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213042127.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170109193440113.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110212601951.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110212624891.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110213748813.jpg.chip.jpg
1,0,0,./UTKFace\1_0_0_20170110211538942.jpg.chip.jpg
